id,title,min_cash,max_cash,percent_rate,extra_charge,max_period,max_amount,bank_id,type
3019,"Альфа-банк ""Субсидированная Стандартная программа на 1 год""",51.0,0.0,0.11,17.5,30,50000000,26,0
3016,"Альфа-банк ""Субсидированная Стандартная программа на 1 год""",20.0,20.99,0.11,34.5,30,50000000,26,0
3017,"Альфа-банк ""Субсидированная Стандартная программа на 1 год""",21.0,30.99,0.11,31.5,30,50000000,26,0
3018,"Альфа-банк ""Субсидированная Стандартная программа на 1 год""",31.0,50.99,0.11,26.5,30,50000000,26,0
2650,"Совкомбанк ""Дальневосточная ипотека"" ДФО",25.0,80.0,1.99,0.0,20,9000000,18,0
2566,"Сбербанк ""Ипотека  по госсертификату 2%""",10.0,95.0,2.0,0.0,30,6000000,1,3
2633,"Газпромбанк ""Дальневосточная ипотека"" ДФО ",30.01,70.0,2.0,0.0,20,9000000,11,0
2597,"Банк ДОМ.РФ ""Дальневосточная ипотека"" ДФО",20.01,80.0,2.0,0.0,20,9000000,24,0
2961,"Азиатско - Тихоокеанский Банк (АТБ) ""Дальневосточная ипотека""",20.01,80.0,2.0,0.0,30,9000000,91,0
2609,"Альфа-банк ""Дальневосточная ипотека"" ДФО",30.0,80.0,2.0,0.0,20,9000000,26,0
2790,"Приморье ""Дальневосточная ипотека"" ДФО",20.0,80.0,2.0,0.0,20,9000000,95,0
2710,Промсвязьбанк «Госпрограмма. Новые субъекты»,10.01,90.0,2.0,0.0,30,6000000,82,3
2527,"ВТБ ""Дальневосточная ипотека"" ДФО",30.1,80.0,2.0,0.0,20,9000000,25,0
2752,"Примсоцбанк ""Дальневосточная ипотека"" ",20.0,80.0,2.0,0.0,20,9000000,91,0
2572,"Сбербанк ""Дальневосточная ипотека"" ДФО ",20.1,80.0,2.0,0.0,20,9000000,1,0
2717,"Промсвязьбанк ""Дальневосточная ипотека"" ДФО",20.1,80.0,2.0,0.0,20,9000000,82,0
2981,"Сбербанк ""Субсидированная программа IT-ипотека""",51.0,0.0,2.5,11.0,30,9000000,1,7
2976,"Сбербанк ""Субсидированная программа IT-ипотека""",31.0,50.99,2.5,16.0,30,9000000,1,7
2974,"Сбербанк ""Субсидированная программа IT-ипотека""",20.1,20.99,2.5,20.5,30,9000000,1,7
2975,"Сбербанк ""Субсидированная программа IT-ипотека""",21.0,30.99,2.5,19.0,30,9000000,1,7
3021,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""Субсидированная Семейная ипотека""",21.0,30.99,2.99,38.5,30,12000000,19,4
3023,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""Субсидированная Семейная ипотека"" ",51.0,0.0,2.99,21.0,30,12000000,19,4
3020,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""Субсидированная Семейная ипотека""",20.1,20.99,2.99,42.5,30,12000000,19,4
3022,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""Субсидированная Семейная ипотека""",31.0,50.99,2.99,32.0,30,12000000,19,4
3038,"ВТБ ""Субсидированная IT-ипотека""",21.0,30.99,3.5,31.5,30,9000000,25,7
2999,"Сбербанк ""Субсидированная Семейная ипотека"" ",51.0,0.0,3.5,14.0,30,18000000,1,4
3036,"ВТБ ""Субсидированная Семейная ипотека""",51.0,0.0,3.5,17.5,30,12000000,25,4
2998,"Сбербанк ""Субсидированная Семейная ипотека""",31.0,50.99,3.5,21.0,30,18000000,1,4
3041,"Альфа-банк ""Субсидированная Семейная ипотека""",31.0,50.99,3.5,26.5,30,12000000,26,4
3035,"ВТБ ""Субсидированная Семейная ипотека""",31.0,50.99,3.5,26.5,30,12000000,25,4
2996,"Сбербанк ""Субсидированная Семейная ипотека""",20.1,20.99,3.5,27.0,30,18000000,1,4
2997,"Сбербанк ""Субсидированная Семейная ипотека""",21.0,30.99,3.5,25.0,30,18000000,1,4
3028,"ВТБ ""Субсидированная IT-ипотека""",51.0,0.0,3.5,17.5,30,9000000,25,7
3037,"ВТБ ""Субсидированная IT-ипотека""",20.1,20.99,3.5,34.5,30,9000000,25,7
3039,"ВТБ ""Субсидированная IT-ипотека""",31.0,50.99,3.5,26.5,30,9000000,25,7
3042,"Альфа-банк ""Субсидированная Семейная ипотека""",51.0,0.0,3.5,17.5,30,12000000,26,4
3034,"ВТБ ""Субсидированная Семейная ипотека""",20.1,20.99,3.5,34.5,30,12000000,25,4
3040,"Альфа-банк ""Субсидированная Семейная ипотека""",21.0,30.99,3.5,31.5,30,12000000,26,4
3033,"ВТБ ""Субсидированная Семейная ипотека""",21.0,30.99,3.5,31.5,30,12000000,25,4
3084,"Совкомбанк ""Субсидированная Семейная ипотека""",51.0,0.0,3.9,14.0,30,12000000,18,4
3082,"Совкомбанк ""Субсидированная Семейная ипотека""",25.1,30.99,3.9,25.0,30,12000000,18,4
3083,"Совкомбанк ""Субсидированная Семейная ипотека""",31.0,50.99,3.9,21.0,30,12000000,18,4
2896,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""Субсидированная IT-ипотека""",21.0,30.99,4.2,31.5,30,9000000,19,7
2897,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""Субсидированная IT-ипотека""",31.0,50.99,4.2,26.5,30,9000000,19,7
2895,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""Субсидированная IT-ипотека""",20.1,20.99,4.2,34.5,30,9000000,19,7
2898,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""Субсидированная IT-ипотека""",51.0,0.0,4.2,17.5,30,9000000,19,7
2883,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""Субсидированная Семейная ипотека""",21.0,30.99,4.5,25.0,30,12000000,19,4
2915,"Альфа-банк ""Субсидированная IT-ипотека""",51.0,0.0,4.5,14.0,30,9000000,26,7
2882,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""Субсидированная Семейная ипотека""",20.1,20.99,4.5,27.0,30,12000000,19,4
2914,"Альфа-банк ""Субсидированная IT-ипотека""",31.0,50.99,4.5,21.0,30,9000000,26,7
2913,"Альфа-банк ""Субсидированная IT-ипотека""",30.01,30.99,4.5,25.0,30,9000000,26,7
2885,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""Субсидированная Семейная ипотека""",51.0,0.0,4.5,14.0,30,12000000,19,4
2884,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""Субсидированная Семейная ипотека""",31.0,50.99,4.5,21.0,30,12000000,19,4
2930,"Сбербанк ""Субсидированная программа IT-ипотека""",51.0,0.0,4.8,11.0,30,9000000,1,7
2927,"Сбербанк ""Субсидированная программа IT-ипотека""",20.1,20.99,4.8,20.5,30,9000000,1,7
2929,"Сбербанк ""Субсидированная программа IT-ипотека"" ",21.0,30.99,4.8,19.0,30,9000000,1,7
2928,"Сбербанк ""Субсидированная программа IT-ипотека""",31.0,50.99,4.8,16.0,30,9000000,1,7
2909,"Альфа-банк ""Субсидированная Семейная ипотека""",21.0,30.99,5.0,19.0,30,12000000,26,4
2911,"Альфа-банк ""Субсидированная Семейная ипотека""",31.0,50.99,5.0,16.0,30,12000000,26,4
2912,"Альфа-банк ""Субсидированная Семейная ипотека""",51.0,0.0,5.0,11.0,30,12000000,26,4
2917,"ВТБ ""Субсидированная IT-ипотека""",21.0,30.99,5.05,25.0,30,9000000,25,7
2919,"ВТБ ""Субсидированная IT-ипотека""",51.0,0.0,5.05,14.0,30,9000000,25,7
2918,"ВТБ ""Субсидированная IT-ипотека""",31.0,50.99,5.05,21.0,30,9000000,25,7
2916,"ВТБ ""Субсидированная IT-ипотека""",20.1,20.99,5.05,27.0,30,9000000,25,7
3085,"Промсвязьбанк ""Субсидированная Семейная ипотека""",31.0,50.99,5.5,9.0,30,12000000,82,4
3086,"Промсвязьбанк ""Субсидированная Семейная ипотека""",51.0,50.99,5.5,6.0,30,12000000,82,4
2708,"Промсвязьбанк ""Субсидированная Семейная ипотека""",21.0,30.99,5.5,10.5,30,12000000,82,4
2768,"ВТБ ""Субсидированная Семейная ипотека""",51.0,0.0,5.7,11.0,30,12000000,25,4
2769,"ВТБ ""Субсидированная Семейная ипотека""",21.0,30.99,5.7,19.0,30,12000000,25,4
2770,"ВТБ ""Субсидированная Семейная ипотека""",31.0,50.99,5.7,16.0,30,12000000,25,4
2767,"ВТБ ""Субсидированная Семейная ипотека""",20.1,20.99,5.7,20.5,30,12000000,25,4
2538,"Абсолют банк ""Семейная ипотека""",50.0,0.0,5.74,0.0,30,12000000,7,4
3013,"РостФинанс ""Семейная ипотека""",20.01,0.0,5.8,0.0,30,12000000,105,4
3015,"Центр-Инвест ""Семейная ипотека""",50.1,0.0,5.9,0.0,30,12000000,107,4
2890,"Банк ДОМ.РФ ""Субсидированная IT-ипотека""",51.0,0.0,5.99,11.0,30,9000000,24,7
2849,"Абсолют банк ""Семейная ипотека"" Регионы",20.0,80.0,5.99,0.0,30,6000000,7,4
2544,"Банк Уралсиб ""Семейная ипотека""",30.0,0.0,5.99,0.0,30,12000000,12,4
2847,"Совкомбанк ""Семейная ипотека"" Регионы",25.0,0.0,5.99,0.0,30,6000000,18,4
2820,"Металлинвестбанк ""Семейная ипотека"" Регионы",20.01,85.0,5.99,0.0,30,6000000,8,4
2853,"Банк Уралсиб ""Семейная ипотека"" регионы",30.0,79.99,5.99,0.0,30,6000000,12,4
2587,"Банк ДОМ.РФ ""Субсидированная Семейная ипотека""",31.0,50.99,5.99,9.0,30,12000000,24,4
2887,"Банк ДОМ.РФ ""Субсидированная IT-ипотека""",20.1,20.99,5.99,20.5,30,9000000,24,7
2889,"Банк ДОМ.РФ ""Субсидированная IT-ипотека""",31.0,50.99,5.99,16.0,30,9000000,24,7
2585,"Банк ДОМ.РФ ""Субсидированная Семейная ипотека""",20.1,20.99,5.99,11.5,30,12000000,24,4
2888,"Банк ДОМ.РФ ""Субсидированная IT-ипотека""",21.0,30.99,5.99,19.0,30,9000000,24,7
2586,"Банк ДОМ.РФ ""Субсидированная Семейная ипотека""",51.0,0.0,5.99,6.0,30,12000000,24,4
2588,"Банк ДОМ.РФ ""Субсидированная Семейная ипотека""",21.0,30.99,5.99,10.5,30,12000000,24,4
2826,"Ак Барс Банк ""IT-ипотека"" регионы",20.01,0.0,6.0,0.0,30,9000000,29,7
2791,"Приморье ""IT-ипотека"" регионы",20.0,80.0,6.0,0.0,30,9000000,95,7
2626,"Газпромбанк ""Семейная ипотека""",20.01,0.0,6.0,0.0,15,12000000,11,4
2816,"Банк ДОМ.РФ ""Семейная ипотека"" Регионы",20.01,79.99,6.0,0.0,30,6000000,24,4
2808,"Ак Барс Банк ""Семейная ипотека""",20.01,0.0,6.0,0.0,30,12000000,29,4
2832,"Альфа-банк ""Семейная ипотека"" Регионы",30.0,80.0,6.0,0.0,30,6000000,26,4
2697,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""IT-ипотека""",50.0,0.0,6.0,0.0,30,9000000,19,7
2831,"Промсвязьбанк ""Семейная ипотека"" Регионы",20.1,80.0,6.0,0.0,30,6000000,82,4
2856,"Газпромбанк ""Семейная ипотека"" регионы",50.0,70.0,6.0,0.0,30,6000000,11,4
2955,"ДОМ РФ ""Семейная ипотека"" (Калуга)",20.01,0.0,6.0,0.0,30,6000000,24,4
2629,"Газпромбанк ""IT- ипотека"" регионы",30.0,0.0,6.0,0.0,30,9000000,11,7
2575,"Банк ДОМ.РФ ""Семейная ипотека""",20.01,0.0,6.0,0.0,30,12000000,24,4
2947,"ВТБ ""Семейная ипотека"" (Калуга)",30.1,0.0,6.0,0.0,30,6000000,25,4
2956,"Банк РОССИЯ ""IT-ипотека"" (Калуга)",30.1,0.0,6.0,0.0,30,9000000,21,7
3014,"Генбанк ""Семейная ипотека""",20.01,0.0,6.0,0.0,30,12000000,106,4
2754,"Примсоцбанк ""IT-ипотека""",20.0,80.0,6.0,0.0,30,9000000,91,7
2829,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК  ""Семейная ипотека"" Регионы",20.1,80.0,6.0,0.0,30,6000000,19,4
2677,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК  ""Семейная ипотека""",20.01,0.0,6.0,0.0,30,12000000,19,4
3012,"Банк «РОССИЯ» ""Семейная ипотека""",30.01,0.0,6.0,0.0,30,12000000,21,4
2990,"Сбербанк ""IT-ипотека""",20.1,85.0,6.0,0.0,30,9000000,1,7
2960,"Азиатско - Тихоокеанский Банк (АТБ) ""Семейная ипотека"" регионы",50.0,80.0,6.0,0.0,30,6000000,91,4
2901,"ВТБ ""IT-ипотека"" (Калуга)",30.01,0.0,6.0,0.0,30,9000000,25,7
2968,"Сбербанк ""Семейная ипотека""",50.1,0.0,6.0,0.0,30,12000000,1,4
2617,"Металлинвестбанк ""Семейная ипотека""",30.0,0.0,6.0,0.0,30,12000000,8,4
2900,"ВТБ ""IT-ипотека""",50.01,0.0,6.0,0.0,30,9000000,25,7
2792,"Приморье ""Семейная ипотека"" ДФО",20.0,80.0,6.0,0.0,30,6000000,95,4
3046,"Азиатско - Тихоокеанский Банк (АТБ) ""Семейная ипотека"" Каскад",50.1,0.0,6.0,0.0,30,6000000,91,4
3010,"Альфа Банк ""IT-ипотека""",30.1,0.0,6.0,0.0,30,18000000,26,7
2753,"Примсоцбанк ""Семейная ипотека""",20.0,80.0,6.0,0.0,30,6000000,91,4
2811,"ВТБ ""Семейная ипотека"" Регионы",20.01,80.0,6.0,0.0,30,6000000,25,4
3011,"Альфа Банк ""Семейная ипотека"" (Калуга)",30.1,0.0,6.0,0.0,30,6000000,26,4
2649,"Совкомбанк ""IT-ипотека"" регионы",25.0,85.0,6.0,0.0,30,9000000,18,7
2852,"Абсолют банк ""IT-ипотека"" регионы",50.0,80.0,6.0,0.0,30,9000000,7,7
2951,"Альфа банк ""Семейная ипотека""",30.01,0.0,6.0,0.0,30,12000000,26,4
2903,"Сбербанк ""IT-ипотека"" (Калуга)",20.1,0.0,6.0,0.0,30,9000000,1,1
2616,"Банк РОССИЯ ""Семейная ипотека"" (Калуга)",30.1,0.0,6.0,0.0,30,12000000,21,4
2862,"ВТБ ""Семейная ипотека"" (субсидия)",20.01,0.0,6.0,0.0,30,12000000,25,3
2747,"Россельхозбанк ""Семейная ипотека""",30.1,0.0,6.0,0.0,30,12000000,86,4
2814,"Сбербанк ""Семейная ипотека"" Регионы",20.1,80.0,6.0,0.0,30,6000000,1,4
3045,"Промсвязьбанк ""Семейная военная ипотека""",30.01,0.0,6.0,0.0,30,4975000,82,1
2596,"Банк ДОМ.РФ ""IT-ипотека"" регионы",20.1,80.0,6.0,0.0,30,9000000,24,7
2580,"Банк ДОМ.РФ ""IT-ипотека"" ",21.1,0.0,6.0,0.0,30,9000000,24,7
2949,"Сбербанк ""Семейная ипотека"" (Калуга)",20.1,0.0,6.0,0.0,30,6000000,1,4
3002,"Промсвязьбанк ""IT-ипотека"" регионы",20.01,80.0,6.0,0.0,30,9000000,82,7
2857,"МТС Банк ""Семейная ипотека"" Регионы",20.01,0.0,6.0,0.0,30,6000000,96,4
2828,"МОСКОВСКИЙ КРЕДИТНЫЙ БАНК ""IT-ипотека"" регионы",50.0,50.0,6.0,0.0,30,9000000,19,7
